Method_Name,Total_Number_Of_Lines
DateUtilsFragmentTest.testSecondsofHourWithDate,8
ArrayUtilsRemoveMultipleTest.testRemoveAllFloatArrayOutOfBoundsIndex,3
ObjectUtilsTest.testMedian_emptyItems,3
DurationFormatUtilsTest.testFormatDuration,31
NumericEntityEscaperTest.testBetween,6
FieldUtilsTest.testWriteField,23
DateUtilsTest.testRound,207
BooleanUtilsTest.testOr_primitive_emptyInput,3
RandomUtilsTest.testNextDoubleNegative,3
ValidateTest.testNotBlankReturnValues1,5
CompareToBuilderTest.testMultiIntArray,21
ValidateTest.testMatchesPattern_withMessage,14
MutableShortTest.testSubtractValuePrimitive,5
StrSubstitutorTest.testReplaceRecursive,13
StandardToStringStyleTest.testBlank,3
DurationFormatUtilsTest.testJiraLang281,4
MutableFloatTest.testConstructors,7
PairTest.testToStringCustom,6
DurationFormatUtilsTest.testFormatPeriodISO,20
BooleanUtilsTest.test_toBoolean_int_int_int,4
DurationFormatUtilsTest.testLANG984,8
MultiBackgroundInitializerTest.testAddInitializerNullName,3
DurationFormatUtilsTest.testLANG982,10
StrBuilderAppendInsertTest.testAppendPadding,14
FieldUtilsTest.testGetFieldsListWithAnnotationIllegalArgumentException2,3
FieldUtilsTest.testGetFieldsListWithAnnotationIllegalArgumentException3,3
FieldUtilsTest.testGetFieldsListWithAnnotationIllegalArgumentException1,3
ImmutablePairTest.testPairOf,12
CharSetTest.testConstructor_String_oddCombinations,42
HashCodeBuilderTest.testFloat,6
HashCodeBuilderTest.testIntArray,9
HashCodeBuilderTest.testObjectBuild,6
NumberUtilsTest.testMaxLong_emptyArray,3
CallableBackgroundInitializerTest.testInitialize,7
MultilineRecursiveToStringStyleTest.nestedAndArray,21
NumberUtilsTest.testMaximumLong,7
FieldUtilsTest.testGetFieldForceAccess,17
ConstructorUtilsTest.singletonArray,8
BooleanUtilsTest.test_toBoolean_Integer_Integer_Integer,8
RangeTest.testIsOverlappedBy,14
PairTest.testComparable1,8
MutableIntTest.testToInteger,4
ToStringBuilderTest.testByte,5
ImmutablePairTest.testToString,6
StrBuilderTest.testLastIndexOf_String_int,25
ToStringBuilderTest.testReflectionIntArrayArray,7
StringUtilsSubstringTest.testCountMatches_String,13
ObjectUtilsTest.testEquals,7
BitFieldTest.testGetShortRawValue,8
FastDateFormatTest.measureTime,34
StrBuilderTest.testReadFromCharBufferAppendsToEnd,5
BooleanUtilsTest.test_toStringTrueFalse_Boolean,5
DiffBuilderTest.testStylePassedToDiffResult,8
ArrayUtilsRemoveTest.testRemoveCharArray,27
DiffTest.testGetFieldName,3
ImmutablePairTest.testEquals,8
BackgroundInitializerTest.testIsStartedAfterGet,6
FieldUtilsTest.testConstructor,8
BooleanUtilsTest.testAnd_object_validInput_3items,66
ReflectionToStringBuilderExcludeTest.test_toStringExcludeCollectionWithNull,6
DateUtilsFragmentTest.testMillisecondsOfMinuteWithCalender,4
StrSubstitutorTest.testReplaceAdjacentAtStart,6
RangeTest.testHashCode,6
NumericEntityEscaperTest.testBelow,6
StrBuilderTest.testGetSetNullText,12
EqualsBuilderTest.testReflectionEquals,12
UnicodeUnpairedSurrogateRemoverTest.testValidCharacters,5
StrMatcherTest.testStringMatcher_String,11
MutableFloatTest.testCompareTo,6
ArrayUtilsRemoveMultipleTest.testRemoveAllShortArrayOutOfBoundsIndex,3
